city,state_abbr,zip,status,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,ev_connector_types
Rio Rancho,NM,87124,E,Public,,35.21843,-106.663,50083,P,,,J1772
Salt Lake City,UT,84115,E,Public,,40.7144199,-111.900105,42013,P,,,J1772
Lenexa,KS,66215,E,Public,Tesla,38.9427327,-94.7425178,75230,P,,,TESLA
Seattle,WA,98101,E,Public,ChargePoint Network,47.6128769,-122.3352681,43306,,,,J1772
Alexandria,VA,22314,E,Public,Tesla,38.8131027,-77.0435092,73711,P,,,J1772 TESLA
San Francisco,CA,94111,E,Public - Card key at all times,SemaCharge Network,37.7950272,-122.3985003,53540,,,,J1772
Williams,AZ,86046,E,Public,Tesla,35.250705,-112.1959689,75212,P,,,TESLA
Carrollton,TX,75006,E,Private,,32.9838,-96.845317,46370,P,,,J1772
Snoqualmie,WA,98065,E,Public,Blink Network,47.527427,-121.823532,48607,,,,J1772
Burlington,WI,53105,E,Public,ChargePoint Network,42.6727905,-88.2556,38977,,,,NEMA520 J1772
Providence,RI,2905,E,Public,ChargePoint Network,41.8096008,-71.4088529,53052,,,,J1772
Seattle,WA,98109,E,Public,Blink Network,47.62395,-122.337078,61020,,,,J1772
Hainesport,NJ,8036,E,Private,,39.98225,-74.808612,45677,P,,,J1772
Mercer Island,WA,98040,E,Public,ChargePoint Network,47.5900154,-122.2285461,43302,,,,NEMA520 J1772
Cohoes,NY,12047,E,Public,ChargePoint Network,42.770945,-73.753012,52806,,,,J1772
Winter Park,FL,32789,E,Public,ChargePoint Network,28.5909042,-81.3660965,42140,,,,NEMA520 J1772
Greeley,CO,80634,E,Public - Call ahead,Greenlots,40.3944828,-104.736046,46537,P,,,J1772 CHADEMO
Waldorf,MD,20603,E,Public - Card key at all times,eVgo Network,38.61743546,-76.92423248,74206,,,,J1772COMBO
Irvine,CA,92602,E,Public,GE WattStation,33.65260507,-117.742508,72710,,,,J1772
Pulaski,TN,38478,E,Private,Blink Network,35.210144,-87.054365,45118,,,,J1772
Lakewood,CA,90712,E,Public - Card key at all times,eVgo Network,33.85131454,-118.1396637,72563,,,,J1772COMBO
Zephyrhills,FL,33542,E,Public,ChargePoint Network,28.2352886,-82.1812439,43149,,,,NEMA520 J1772
West Islip,NY,11795,E,Private,,40.720647,-73.304128,44211,P,,,J1772
Port Angeles,WA,98362,E,Private,,48.102884,-123.342597,44149,P,,,J1772
Dallas,TX,75206,E,Public,Blink Network,32.837337,-96.770536,47517,,,,J1772
Los Angeles,CA,91330,E,Public,ChargePoint Network,34.2502889,-118.5270237,75114,,,,J1772
Detroit,MI,48202,E,Public,,42.3559279,-83.055206,64731,P,,,J1772
Honolulu,HI,96815,E,Public,,21.278842,-157.823158,49009,P,,,J1772
Boston,MA,2109,E,Public,ChargePoint Network,42.3553897,-71.0547719,71169,,,,J1772
New Orleans,LA,70118,E,Private,,29.9371899,-90.1268944,46855,P,,,J1772
Dallas,TX,75223,E,Public,ChargePoint Network,32.7819816,-96.8019686,60349,,,,J1772
Canton,GA,30114,E,Public,Blink Network,34.2455859,-84.471847,52365,,,,J1772
Buttonwillow,CA,93206,E,Public,Tesla,35.400244,-119.3975212,74239,P,,,TESLA
Azusa,CA,91702,E,Public,Greenlots,34.12741778,-117.8903625,74142,LG,,,CHADEMO J1772COMBO
Bourbonnais,IL,60914,T,TEMPORARILY UNAVAILABLE (Public),,41.161794,-87.885165,49170,P,,,J1772
Downey,CA,90241,E,Public - Card key at all times,eVgo Network,33.93534851,-118.1208878,69346,,,,CHADEMO J1772 J1772COMBO
Naples,FL,34117,E,Private,,26.15823,-81.674971,51257,P,,,J1772
Yosemite Valley,CA,95386,E,Public,Tesla,37.745956,-119.574336,66931,SG,,,TESLA NEMA520
Nevada,MO,64772,E,Public,ChargePoint Network,37.8335699,-94.3271914,70711,,,,J1772
Medina,OH,44256,E,Private,,41.134257,-81.793779,45749,P,,,J1772
Kirkland,WA,98033,E,Public,ChargePoint Network,47.6757469,-122.2029724,57447,,,,NEMA520 J1772
Honolulu,HI,96818,E,Public,,21.34645,-157.91968,66910,P,,,J1772
Taneytown,MD,21787,E,Public,Tesla,39.654916,-77.1730675,68582,P,,,TESLA J1772
Pomfret,CT,6258,E,Public,,41.859648,-71.998608,73861,LG,,,J1772
LaCrosse,WI,54601,E,Public - Call ahead,,43.808262,-91.252255,53703,P,,,J1772
Washington,DC,20016,E,Public,ChargePoint Network,38.9392128,-77.0867615,64553,,,,NEMA520 J1772
Greenville,SC,29615,E,Public,ChargePoint Network,34.8554115,-82.2476654,37058,,,,NEMA520 J1772
Columbus,GA,31901,E,Public,Greenlots,32.466375,-84.994049,68335,LG,,,CHADEMO J1772COMBO
Round Rock,TX,78681,E,Public - Call ahead,,30.54205,-97.69265,39748,P,,,J1772
Grapevine,TX,76051,E,Public,Blink Network,32.979103,-97.054467,50897,,,,J1772
Alton,IL,62002,E,Public,,38.9217295,-90.1795597,51747,P,,,J1772
Highland,MI,48356,E,Public - Call ahead,,42.652932,-83.580487,49836,P,,,J1772
Fresno,CA,93726,E,Public,,36.801411,-119.7881,49119,P,,,J1772
