state_abbr,state,electric_vehicles_2013,electric_vehicles_2012,electric_vehicles_2011,electric_vehicles_2010,electric_vehicles_2009,latitude,longitude
AK,Alaska,16,16,10,8,2,61.385,-152.2683
AL,Alabama,71,78,74,94,26,32.799,-86.8073
AR,Arkansas,16,13,10,5,2,34.9513,-92.3809
AZ,Arizona,392,384,431,325,249,33.7712,-111.3877
CA,California,2731,2924,2780,2665,1302,36.17,-119.7462
CO,Colorado,44,44,31,27,10,39.0646,-105.3272
CT,Connecticut,19,14,66,14,0,41.5834,-72.7622
DE,Delaware,0,0,0,0,0,38.8964,-77.0262
DC,District of Columbia,70,66,107,114,0,39.3498,-75.5148
FL,Florida,302,311,346,288,10,27.8333,-81.717
GA,Georgia,365,387,347,314,19,32.9866,-83.6487
HI,Hawaii,175,190,147,34,2,21.1098,-157.5311
IA,Iowa,12,14,14,14,13,42.0046,-93.214
ID,Idaho,12,8,8,3,0,44.2394,-114.5103
IL,Illinois,36,33,26,19,5,40.3363,-89.0022
IN,Indiana,33,26,14,0,0,39.8647,-86.2604
KS,Kansas,48,58,57,32,0,38.5111,-96.8005
KY,Kentucky,48,70,70,63,0,37.669,-84.6514
LA,Louisiana,143,152,145,72,24,31.1801,-91.8749
MA,Massachusetts,77,98,121,128,93,42.2373,-71.5314
MD,Maryland,92,115,93,81,65,39.0724,-76.7902
ME,Maine,20,12,17,0,0,44.6074,-69.3977
MI,Michigan,124,126,126,122,95,43.3504,-84.5603
MN,Minnesota,22,27,31,35,0,45.7326,-93.9196
MO,Missouri,75,92,38,64,0,38.4623,-92.302
MS,Mississippi,73,73,59,34,0,32.7673,-89.6812
MT,Montana,7,4,5,2,2,46.9048,-110.3261
NC,North Carolina,182,180,179,153,84,35.6411,-79.8431
ND,North Dakota,0,0,0,0,0,47.5362,-99.793
NE,Nebraska,0,0,5,0,0,41.1289,-98.2883
NH,New Hampshire,13,14,11,24,13,43.4108,-71.5653
NJ,New Jersey,6,33,42,35,2,40.314,-74.5089
NM,New Mexico,9,11,14,22,0,34.8375,-106.2371
NV,Nevada,38,29,27,22,2,38.4199,-117.1219
NY,New York,492,485,554,463,427,42.1497,-74.9384
OH,Ohio,64,65,85,77,71,40.3736,-82.7755
OK,Oklahoma,23,63,80,49,16,35.5376,-96.9247
OR,Oregon,93,190,161,158,73,44.5672,-122.1269
PA,Pennsylvania,36,19,12,13,1,40.5773,-77.264
RI,Rhode Island,26,18,28,15,0,41.6772,-71.5101
SC,South Carolina,80,58,59,56,1,33.8191,-80.9066
SD,South Dakota,3,3,5,4,0,44.2853,-99.4632
TN,Tennessee,89,81,79,29,15,35.7449,-86.7489
TX,Texas,211,233,257,207,0,31.106,-97.6475
UT,Utah,10,21,25,20,6,40.1135,-111.8535
VA,Virginia,261,264,278,191,2,37.768,-78.2057
VT,Vermont,2,2,7,5,18,44.0407,-72.7093
WA,Washington,224,217,205,104,0,47.3917,-121.5708
WI,Wisconsin,9,5,9,9,1,44.2563,-89.6385
WV,West Virginia,24,29,10,5,0,38.468,-80.9696
WY,Wyoming,1,1,3,1,1,42.7475,-107.2085
